freq,reporter,partner,product,indicator,time,Value,source,pulled_at_utc,partner_name,GEN_VAL_MO,GEN_VAL_YR,YEAR,MONTH,ALL_VAL_MO,ALL_VAL_YR,year,period,periodName,value,footnotes,series_id
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2019.0,M01,January,116.7,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2018.0,M01,January,114.5,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2017.0,M01,January,111.6,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2016.0,M01,January,109.7,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2015.0,M01,January,109.7,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2014.0,M01,January,109.7,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2013.0,M01,January,108.3,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2012.0,M01,January,106.6,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2011.0,M01,January,103.4,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2010.0,M01,January,101.0,[{}],WPUFD4
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2019.0,M01,January,250.6,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2018.0,M01,January,239.6,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2017.0,M01,January,231.4,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2016.0,M01,January,227.5,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2015.0,M01,January,229.2,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2014.0,M01,January,225.0,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2013.0,M01,January,221.4,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2012.0,M01,January,215.7,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2011.0,M01,January,208.5,[{}],WPSID612
,,,,,,,bls_ppi,2025-09-23T13:38:08.023629,,,,,,,,2010.0,M01,January,202.6,[{}],WPSID612
A,USA,WLD,Total,MPRT-TRD-VL,2019,2567492197.103,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,MPRT-TRD-VL,2020,2405381557.667,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,MPRT-TRD-VL,2021,2932976075.226,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,MPRT-TRD-VL,2022,3372902165.775,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,XPRT-TRD-VL,2019,1644276220.783,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,XPRT-TRD-VL,2020,1430253623.489,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,XPRT-TRD-VL,2021,1753136708.106,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,WLD,Total,XPRT-TRD-VL,2022,2062089832.731,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,MPRT-TRD-VL,2019,326628559.104,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,MPRT-TRD-VL,2020,276195545.882,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,MPRT-TRD-VL,2021,363904687.514,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,MPRT-TRD-VL,2022,446623933.605,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,XPRT-TRD-VL,2019,292338433.401,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,XPRT-TRD-VL,2020,255021619.206,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,XPRT-TRD-VL,2021,306926753.196,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,CAN,Total,XPRT-TRD-VL,2022,354887051.264,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
A,USA,MEX,Total,MPRT-TRD-VL,2019,361320937.424,wits_trade,2025-09-23T14:57:49.624117,,,,,,,,,,,,,
